,label,building_area,total_households,total_status,num_buildings,index_right,cluster_area,Area_gini,Area_mean,building_density,high,mid,low,status_Gini,avg_status
0,0.0,301805,934,1873,116,232,99381315.82732883,0.025706219329120688,323.13169164882225,0.003036838438770266,0,929,5,0.0026694757942624377,1.9946466809421841
1,1.0,260492,807,1619,100,1200,88931461.1266583,0.0371500514487303,322.7905824039653,0.0029291321282689945,2,798,7,0.0055527188683851605,1.9938042131350682
2,2.0,244464,648,1254,103,1957,103950907.74289401,0.1798230825877363,377.2592592592593,0.0023517254953140257,56,578,14,0.04847386000848881,2.064814814814815
3,3.0,385665,1197,2402,124,1364,110119156.72325198,0.0243291126185812,322.1929824561403,0.0035022516651597797,0,1189,8,0.003330483235190519,1.9933166248955723
4,4.0,38893,156,350,67,1206,60609889.17497809,0.2573103260951974,249.31410256410257,0.0006416939633022198,0,118,38,0.10490361220288227,1.7564102564102564
5,5.0,250783,714,1423,114,570,87108367.69573711,0.14479400098722733,351.2366946778711,0.0028789771480504135,29,661,24,0.035600423002417995,2.007002801120448
6,6.0,227093,735,1513,160,640,136333063.99547625,0.08393639322629398,308.97006802721086,0.0016657221171786714,0,692,43,0.028370254899437,1.9414965986394557
7,7.0,234331,785,1631,201,3417,306643583.87180525,0.10661417554410964,298.5108280254777,0.0007641803459287898,0,724,61,0.037282884434370424,1.9222929936305733
8,8.0,391987,1169,2334,281,2529,271356831.35928655,0.10232240837633796,335.3182207014542,0.0014445444326440951,25,1123,21,0.019251968187572643,2.003421727972626
9,9.0,64318,209,428,31,434,15736751.578797298,0.06039198771772611,307.74162679425837,0.004087120501200387,0,199,10,0.023337086030584483,1.9521531100478469
10,10.0,246429,776,1573,121,1815,158098686.53804654,0.06560722117614605,317.5631443298969,0.0015587036514733898,4,747,25,0.018402331203242944,1.972938144329897
11,11.0,150441,526,1120,136,1360,159030883.67227122,0.14267466828765507,286.00950570342206,0.0009459860658891066,0,458,68,0.06017187548301338,1.870722433460076
12,12.0,61431,240,535,105,1680,68820606.81657033,0.23929489996907097,255.96250000000003,0.0008926250848635195,0,185,55,0.09975490196078432,1.7708333333333333
13,13.0,416002,1117,2135,221,0,158163009.86495137,0.1612971120752953,372.42793196060876,0.002630210441462933,105,1006,6,0.0433337260227609,2.0886302596239927
14,14.0,273411,885,1822,170,2210,201929529.65523458,0.0864587443497607,308.93898305084747,0.0013539921598728511,2,829,54,0.030675532579599193,1.9412429378531073
15,15.0,409023,1103,2119,251,251,202358752.77838558,0.18189377611358618,370.8277425203989,0.0020212765417068172,110,970,23,0.05300929669272124,2.0788757932910245
16,16.0,346185,1095,2222,140,980,91096520.52578507,0.044350056186470345,316.1506849315069,0.0038002000296159673,0,1063,32,0.014395199343210565,1.9707762557077626
17,17.0,346610,974,1922,187,1122,180460272.46070585,0.14628883026429004,355.8624229979466,0.0019206997488905614,46,908,20,0.03212605764049689,2.026694045174538
18,18.0,328809,1044,2138,278,834,187084291.32202592,0.11817727008688936,314.9511494252874,0.0017575446750578596,8,978,58,0.03077354028252475,1.9521072796934866
19,19.0,184930,701,1543,257,2056,304884839.6984916,0.21563646745157763,263.80884450784595,0.0006065568894238297,1,558,142,0.09058996946697875,1.7988587731811698
