,label,building_area,total_households,total_status,num_buildings,index_right,cluster_area,Area_gini,building_density,high,mid,low,status_Gini,avg_status
0,0.0,3782233,11317,22681,2268,0.0,26238511717.776257,0.12380215222866778,0.0001441481529395429,377,10516,424,0.034203551790058594,1.9958469559070424
1,1.0,519861,1662,3388,268,268.0,376703472.3349941,0.06565388201314612,0.0013800270987088198,3,1592,67,0.02064221538098086,1.9614921780986763
2,2.0,31755,100,201,14,28.0,562660.1971027587,0.03250409369754067,0.056437260292290736,0,99,1,0.004974874371859297,1.99
3,4.0,41062,126,252,10,30.0,250806.3221727975,0.011998545069151611,0.16371995587778526,0,126,0,0.0,2.0
4,5.0,36733,114,228,15,60.0,627990.9359816661,0.02568799701566401,0.05849288245311936,0,114,0,0.0,2.0
5,6.0,42527,159,349,64,320.0,21885735.494653128,0.21904652677462513,0.0019431378036342305,0,128,31,0.08695461617688953,1.8050314465408805
6,7.0,168611,560,1158,143,858.0,97186707.14674622,0.10319923053255944,0.001734918333485744,0,522,38,0.03273699498283602,1.9321428571428572
7,8.0,28246,88,178,19,133.0,931454.9693876384,0.060121006956582304,0.030324600682059402,0,86,2,0.011233019853709508,1.9772727272727273
8,9.0,16401,59,127,16,144.0,513430.70450951887,0.16694116881759608,0.03194394074204795,0,50,9,0.06997356554190638,1.847457627118644
9,11.0,5145,15,30,7,70.0,114593.4035659863,0.08873770765890611,0.04489787230237346,0,15,0,0.0,2.0
10,12.0,19702,61,122,4,48.0,19736.7716688381,0.011801605220343538,0.9982382291581657,0,61,0,0.0,2.0
11,16.0,6804,23,48,4,52.0,17965.85287418474,0.09763473093243927,0.37871845259162257,0,21,2,0.04150197628458498,1.9130434782608696
12,17.0,6533,21,43,4,56.0,22087.895500474056,0.06545715682808949,0.295772858933518,0,20,1,0.023228803716608595,1.9523809523809523
13,28.0,22447,70,141,8,120.0,159118.40243216848,0.031180921992963302,0.14107104933742068,0,69,1,0.007091469681397739,1.9857142857142858
14,33.0,2119,10,24,5,80.0,44422.657205401076,0.3804560279055806,0.04770088358744924,0,6,4,0.15,1.6
15,37.0,5962,20,42,5,85.0,44118.25246598704,0.10754880506338546,0.1351368122433318,0,18,2,0.04736842105263158,1.9
16,39.0,35525,114,235,18,324.0,1087582.4505556019,0.07880077112958232,0.03266419017873239,0,107,7,0.029729300627133443,1.9385964912280702
17,40.0,8642,28,58,4,76.0,4511.92603833963,0.0751723567727003,1.9153682765553974,0,26,2,0.0343915343915344,1.9285714285714286
18,52.0,12302,39,79,5,100.0,3033.8833975417892,0.0414470285592061,4.054869086256816,0,38,1,0.012654012654012654,1.9743589743589745
19,64.0,9430,31,64,7,147.0,151335.1876527447,0.10038438709414593,0.062312011808107554,0,29,2,0.031182795698924733,1.935483870967742
20,65.0,13911,46,96,9,198.0,248015.14115414032,0.10267874884672713,0.056089317512088406,0,42,4,0.04150197628458498,1.9130434782608696
21,69.0,17209,54,109,10,230.0,231266.23895910682,0.040632993266955,0.0744120718936539,0,53,1,0.009172724125995154,1.9814814814814814
22,70.0,9460,35,76,9,216.0,126193.19871381644,0.174600385731115,0.07496442039997404,0,29,6,0.07767857142857143,1.8285714285714285
23,72.0,3326,14,31,6,48.0,144524.5519911855,0.2569613020777743,0.023013390833433282,0,11,3,0.09428571428571428,1.7857142857142858
24,74.0,1513,9,23,7,175.0,68429.72377914163,0.5631731723048656,0.022110274840261512,0,4,5,0.17094017094017094,1.4444444444444444
25,76.0,3118,15,35,10,260.0,210357.05033818464,0.33357466773030403,0.014822417385047405,0,10,5,0.13333333333333333,1.6666666666666667
26,77.0,11262,35,71,5,135.0,39155.93202299039,0.049802736949115634,0.2876192550693857,0,34,1,0.014078674948240165,1.9714285714285715
27,78.0,2322,14,35,8,224.0,109295.62857358504,0.46824570166718466,0.021245131486998824,0,7,7,0.16666666666666666,1.5
28,80.0,11214,47,108,28,812.0,879107.6552069433,0.3268194360738006,0.012756116880088148,0,33,14,0.12287234042553193,1.702127659574468
29,96.0,100,4,12,4,120.0,3968.2267976103385,0.0,0.025200172545636727,0,0,4,0.0,1.0
30,97.0,175,7,21,7,217.0,51302.628713386686,0.0,0.003411131249778167,0,0,7,0.0,1.0
